"PKEY","BOID","METABO","LASTUPDATE","PROCESSID","ROWCOMMENT","CREATED","CREATEDUSER","REPLACED","REPLACEDUSER","GUELTAB","GUELTBIS","ITSTARIFGRPPARENT","ITSTARIFGRPCHILD","EINAUSSCHLUSS","TIMESEG","ARCHIVETAG","MDBID"
64,"64",-1084,2014-01-16 15:45:09.406397000,"B.108","",2014-01-16 15:45:09.406397000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"134","131","-62356",2014-01-16,"",""
65,"65",-1084,2014-01-16 15:45:09.406397000,"B.108","",2014-01-16 15:45:09.406397000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"134","132","-62356",2014-01-16,"",""
66,"66",-1084,2014-01-16 15:45:09.406397000,"B.108","",2014-01-16 15:45:09.406397000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"134","133","-62356",2014-01-16,"",""
67,"67",-1084,2014-01-16 15:45:10.152499000,"B.108","",2014-01-16 15:45:10.152499000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"81","79","-62356",2014-01-16,"",""
68,"68",-1084,2014-01-16 15:45:10.152499000,"B.108","",2014-01-16 15:45:10.152499000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"81","80","-62356",2014-01-16,"",""
69,"69",-1084,2014-01-16 15:45:10.252154000,"B.108","",2014-01-16 15:45:10.252154000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"93","91","-62356",2014-01-16,"",""
70,"70",-1084,2014-01-16 15:45:10.252154000,"B.108","",2014-01-16 15:45:10.252154000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"93","92","-62356",2014-01-16,"",""
71,"71",-1084,2014-01-16 15:45:10.542314000,"B.108","",2014-01-16 15:45:10.542314000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"54","49","-62356",2014-01-16,"",""
72,"72",-1084,2014-01-16 15:45:10.542314000,"B.108","",2014-01-16 15:45:10.542314000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"54","50","-62356",2014-01-16,"",""
73,"73",-1084,2014-01-16 15:45:10.542314000,"B.108","",2014-01-16 15:45:10.542314000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"54","51","-62356",2014-01-16,"",""
74,"74",-1084,2014-01-16 15:45:10.542314000,"B.108","",2014-01-16 15:45:10.542314000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"54","52","-62356",2014-01-16,"",""
75,"75",-1084,2014-01-16 15:45:10.542314000,"B.108","",2014-01-16 15:45:10.542314000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"54","53","-62356",2014-01-16,"",""
76,"76",-1084,2014-01-16 15:45:10.683474000,"B.108","",2014-01-16 15:45:10.683474000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"26","24","-62356",2014-01-16,"",""
77,"77",-1084,2014-01-16 15:45:10.683474000,"B.108","",2014-01-16 15:45:10.683474000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"26","25","-62356",2014-01-16,"",""
78,"78",-1084,2014-01-16 15:45:10.771575000,"B.108","",2014-01-16 15:45:10.771575000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"38","32","-62356",2014-01-16,"",""
79,"79",-1084,2014-01-16 15:45:10.771575000,"B.108","",2014-01-16 15:45:10.771575000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"38","33","-62356",2014-01-16,"",""
80,"80",-1084,2014-01-16 15:45:10.771575000,"B.108","",2014-01-16 15:45:10.771575000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"38","34","-62356",2014-01-16,"",""
81,"81",-1084,2014-01-16 15:45:10.771575000,"B.108","",2014-01-16 15:45:10.771575000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"38","35","-62356",2014-01-16,"",""
82,"82",-1084,2014-01-16 15:45:10.771575000,"B.108","",2014-01-16 15:45:10.771575000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"38","36","-62356",2014-01-16,"",""
83,"83",-1084,2014-01-16 15:45:10.771575000,"B.108","",2014-01-16 15:45:10.771575000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"38","37","-62356",2014-01-16,"",""
84,"84",-1084,2014-01-16 15:45:10.831666000,"B.108","",2014-01-16 15:45:10.831666000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"42","39","-62356",2014-01-16,"",""
85,"85",-1084,2014-01-16 15:45:10.831666000,"B.108","",2014-01-16 15:45:10.831666000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"42","40","-62356",2014-01-16,"",""
86,"86",-1084,2014-01-16 15:45:10.831666000,"B.108","",2014-01-16 15:45:10.831666000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"42","41","-62356",2014-01-16,"",""
87,"87",-1084,2014-01-16 15:45:10.888600000,"B.108","",2014-01-16 15:45:10.888600000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"78","76","-62356",2014-01-16,"",""
88,"88",-1084,2014-01-16 15:45:10.888600000,"B.108","",2014-01-16 15:45:10.888600000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"78","77","-62356",2014-01-16,"",""
89,"89",-1084,2014-01-16 15:45:10.922462000,"B.108","",2014-01-16 15:45:10.922462000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"82","78","-62356",2014-01-16,"",""
90,"90",-1084,2014-01-16 15:45:10.922462000,"B.108","",2014-01-16 15:45:10.922462000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"82","81","-62356",2014-01-16,"",""
91,"91",-1084,2014-01-16 15:45:10.961820000,"B.108","",2014-01-16 15:45:10.961820000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"99","96","-62356",2014-01-16,"",""
92,"92",-1084,2014-01-16 15:45:10.961820000,"B.108","",2014-01-16 15:45:10.961820000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"99","97","-62356",2014-01-16,"",""
93,"93",-1084,2014-01-16 15:45:10.961820000,"B.108","",2014-01-16 15:45:10.961820000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"99","98","-62356",2014-01-16,"",""
94,"94",-1084,2014-01-16 15:45:11.001139000,"B.108","",2014-01-16 15:45:11.001139000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"104","101","-62356",2014-01-16,"",""
95,"95",-1084,2014-01-16 15:45:11.001139000,"B.108","",2014-01-16 15:45:11.001139000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"104","102","-62356",2014-01-16,"",""
96,"96",-1084,2014-01-16 15:45:11.001139000,"B.108","",2014-01-16 15:45:11.001139000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"104","103","-62356",2014-01-16,"",""
97,"97",-1084,2014-01-16 15:45:11.078804000,"B.108","",2014-01-16 15:45:11.078804000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"130","128","-62356",2014-01-16,"",""
98,"98",-1084,2014-01-16 15:45:11.078804000,"B.108","",2014-01-16 15:45:11.078804000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"130","129","-62356",2014-01-16,"",""
99,"99",-1084,2014-01-16 15:45:11.139896000,"B.108","",2014-01-16 15:45:11.139896000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"11","10","-62356",2014-01-16,"",""
100,"100",-1084,2014-01-16 15:45:11.298199000,"B.108","",2014-01-16 15:45:11.298199000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"6","31","-62356",2014-01-16,"",""
101,"101",-1084,2014-01-16 15:45:11.298199000,"B.108","",2014-01-16 15:45:11.298199000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"6","38","-62356",2014-01-16,"",""
102,"102",-1084,2014-01-16 15:45:11.298199000,"B.108","",2014-01-16 15:45:11.298199000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"6","42","-62356",2014-01-16,"",""
103,"103",-1084,2014-01-16 15:45:11.298199000,"B.108","",2014-01-16 15:45:11.298199000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"6","43","-62356",2014-01-16,"",""
104,"104",-1084,2014-01-16 15:45:11.298199000,"B.108","",2014-01-16 15:45:11.298199000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"6","48","-62356",2014-01-16,"",""
105,"105",-1084,2014-01-16 15:45:11.298199000,"B.108","",2014-01-16 15:45:11.298199000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"6","54","-62356",2014-01-16,"",""
106,"106",-1084,2014-01-16 15:45:11.298199000,"B.108","",2014-01-16 15:45:11.298199000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"6","60","-62356",2014-01-16,"",""
107,"107",-1084,2014-01-16 15:45:11.298199000,"B.108","",2014-01-16 15:45:11.298199000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"6","70","-62356",2014-01-16,"",""
108,"108",-1084,2014-01-16 15:45:11.298199000,"B.108","",2014-01-16 15:45:11.298199000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"6","94","-62356",2014-01-16,"",""
109,"109",-1084,2014-01-16 15:45:11.298199000,"B.108","",2014-01-16 15:45:11.298199000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"6","108","-62356",2014-01-16,"",""
110,"110",-1084,2014-01-16 15:45:11.298199000,"B.108","",2014-01-16 15:45:11.298199000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"6","123","-62356",2014-01-16,"",""
111,"111",-1084,2014-01-16 15:45:11.298199000,"B.108","",2014-01-16 15:45:11.298199000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"6","134","-62356",2014-01-16,"",""
112,"112",-1084,2014-01-16 15:45:11.515555000,"B.108","",2014-01-16 15:45:11.515555000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"108","95","-62356",2014-01-16,"",""
113,"113",-1084,2014-01-16 15:45:11.515555000,"B.108","",2014-01-16 15:45:11.515555000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"108","99","-62356",2014-01-16,"",""
114,"114",-1084,2014-01-16 15:45:11.515555000,"B.108","",2014-01-16 15:45:11.515555000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"108","100","-62356",2014-01-16,"",""
115,"115",-1084,2014-01-16 15:45:11.515555000,"B.108","",2014-01-16 15:45:11.515555000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"108","104","-62356",2014-01-16,"",""
116,"116",-1084,2014-01-16 15:45:11.515555000,"B.108","",2014-01-16 15:45:11.515555000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"108","105","-62356",2014-01-16,"",""
117,"117",-1084,2014-01-16 15:45:11.515555000,"B.108","",2014-01-16 15:45:11.515555000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"108","106","-62356",2014-01-16,"",""
118,"118",-1084,2014-01-16 15:45:11.515555000,"B.108","",2014-01-16 15:45:11.515555000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"108","107","-62356",2014-01-16,"",""
119,"119",-1084,2014-01-16 15:45:11.648700000,"B.108","",2014-01-16 15:45:11.648700000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"123","109","-62356",2014-01-16,"",""
120,"120",-1084,2014-01-16 15:45:11.648700000,"B.108","",2014-01-16 15:45:11.648700000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"123","110","-62356",2014-01-16,"",""
121,"121",-1084,2014-01-16 15:45:11.648700000,"B.108","",2014-01-16 15:45:11.648700000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"123","111","-62356",2014-01-16,"",""
122,"122",-1084,2014-01-16 15:45:11.648700000,"B.108","",2014-01-16 15:45:11.648700000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"123","112","-62356",2014-01-16,"",""
123,"123",-1084,2014-01-16 15:45:11.648700000,"B.108","",2014-01-16 15:45:11.648700000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"123","113","-62356",2014-01-16,"",""
124,"124",-1084,2014-01-16 15:45:11.648700000,"B.108","",2014-01-16 15:45:11.648700000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"123","114","-62356",2014-01-16,"",""
125,"125",-1084,2014-01-16 15:45:11.648700000,"B.108","",2014-01-16 15:45:11.648700000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"123","115","-62356",2014-01-16,"",""
126,"126",-1084,2014-01-16 15:45:11.648700000,"B.108","",2014-01-16 15:45:11.648700000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"123","116","-62356",2014-01-16,"",""
127,"127",-1084,2014-01-16 15:45:11.648700000,"B.108","",2014-01-16 15:45:11.648700000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"123","117","-62356",2014-01-16,"",""
128,"128",-1084,2014-01-16 15:45:11.648700000,"B.108","",2014-01-16 15:45:11.648700000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"123","118","-62356",2014-01-16,"",""
129,"129",-1084,2014-01-16 15:45:11.648700000,"B.108","",2014-01-16 15:45:11.648700000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"123","119","-62356",2014-01-16,"",""
130,"130",-1084,2014-01-16 15:45:11.648700000,"B.108","",2014-01-16 15:45:11.648700000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"123","120","-62356",2014-01-16,"",""
131,"131",-1084,2014-01-16 15:45:11.648700000,"B.108","",2014-01-16 15:45:11.648700000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"123","121","-62356",2014-01-16,"",""
132,"132",-1084,2014-01-16 15:45:11.648700000,"B.108","",2014-01-16 15:45:11.648700000,"CHaegele",3000-01-01 00:00:00.000000000,"",2002-01-01,3000-01-01,"123","122","-62356",2014-01-16,"",""
133,"133",-1084,2014-01-16 15:51:38.162670000,"B.109","",2014-01-16 15:51:38.162670000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"263","261","-62356",2014-01-16,"",""
134,"134",-1084,2014-01-16 15:51:38.162670000,"B.109","",2014-01-16 15:51:38.162670000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"263","262","-62356",2014-01-16,"",""
135,"135",-1084,2014-01-16 15:51:38.330814000,"B.109","",2014-01-16 15:51:38.330814000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"144","139","-62356",2014-01-16,"",""
136,"136",-1084,2014-01-16 15:51:38.330814000,"B.109","",2014-01-16 15:51:38.330814000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"144","140","-62356",2014-01-16,"",""
137,"137",-1084,2014-01-16 15:51:38.330814000,"B.109","",2014-01-16 15:51:38.330814000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"144","141","-62356",2014-01-16,"",""
138,"138",-1084,2014-01-16 15:51:38.330814000,"B.109","",2014-01-16 15:51:38.330814000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"144","142","-62356",2014-01-16,"",""
139,"139",-1084,2014-01-16 15:51:38.330814000,"B.109","",2014-01-16 15:51:38.330814000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"144","143","-62356",2014-01-16,"",""
140,"140",-1084,2014-01-16 15:51:38.898045000,"B.109","",2014-01-16 15:51:38.898045000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"220","206","-62356",2014-01-16,"",""
141,"141",-1084,2014-01-16 15:51:38.898045000,"B.109","",2014-01-16 15:51:38.898045000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"220","207","-62356",2014-01-16,"",""
142,"142",-1084,2014-01-16 15:51:38.898045000,"B.109","",2014-01-16 15:51:38.898045000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"220","208","-62356",2014-01-16,"",""
143,"143",-1084,2014-01-16 15:51:38.898045000,"B.109","",2014-01-16 15:51:38.898045000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"220","209","-62356",2014-01-16,"",""
144,"144",-1084,2014-01-16 15:51:38.898045000,"B.109","",2014-01-16 15:51:38.898045000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"220","210","-62356",2014-01-16,"",""
145,"145",-1084,2014-01-16 15:51:38.898045000,"B.109","",2014-01-16 15:51:38.898045000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"220","211","-62356",2014-01-16,"",""
146,"146",-1084,2014-01-16 15:51:38.898045000,"B.109","",2014-01-16 15:51:38.898045000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"220","212","-62356",2014-01-16,"",""
147,"147",-1084,2014-01-16 15:51:38.898045000,"B.109","",2014-01-16 15:51:38.898045000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"220","213","-62356",2014-01-16,"",""
148,"148",-1084,2014-01-16 15:51:38.898045000,"B.109","",2014-01-16 15:51:38.898045000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"220","214","-62356",2014-01-16,"",""
149,"149",-1084,2014-01-16 15:51:38.898045000,"B.109","",2014-01-16 15:51:38.898045000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"220","215","-62356",2014-01-16,"",""
150,"150",-1084,2014-01-16 15:51:38.898045000,"B.109","",2014-01-16 15:51:38.898045000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"220","216","-62356",2014-01-16,"",""
151,"151",-1084,2014-01-16 15:51:38.898045000,"B.109","",2014-01-16 15:51:38.898045000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"220","217","-62356",2014-01-16,"",""
152,"152",-1084,2014-01-16 15:51:38.898045000,"B.109","",2014-01-16 15:51:38.898045000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"220","218","-62356",2014-01-16,"",""
153,"153",-1084,2014-01-16 15:51:38.898045000,"B.109","",2014-01-16 15:51:38.898045000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"220","219","-62356",2014-01-16,"",""
154,"154",-1084,2014-01-16 15:51:38.983981000,"B.109","",2014-01-16 15:51:38.983981000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,2010-12-31,"227","225","-62356",2014-01-16,"",""
155,"155",-1084,2014-01-16 15:51:38.983981000,"B.109","",2014-01-16 15:51:38.983981000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"227","226","-62356",2014-01-16,"",""
156,"156",-1084,2014-01-16 15:51:38.983981000,"B.109","",2014-01-16 15:51:38.983981000,"CHaegele",3000-01-01 00:00:00.000000000,"",2012-07-01,3000-01-01,"227","225","-62356",2014-01-16,"",""
157,"157",-1084,2014-01-16 15:51:39.117327000,"B.109","",2014-01-16 15:51:39.117327000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"256","254","-62356",2014-01-16,"",""
158,"158",-1084,2014-01-16 15:51:39.117327000,"B.109","",2014-01-16 15:51:39.117327000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"256","255","-62356",2014-01-16,"",""
159,"159",-1084,2014-01-16 15:51:39.267512000,"B.109","",2014-01-16 15:51:39.267512000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,2011-06-30,"309","302","-62356",2014-01-16,"",""
160,"160",-1084,2014-01-16 15:51:39.267512000,"B.109","",2014-01-16 15:51:39.267512000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,2011-06-30,"309","303","-62356",2014-01-16,"",""
161,"161",-1084,2014-01-16 15:51:39.267512000,"B.109","",2014-01-16 15:51:39.267512000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,2011-06-30,"309","304","-62356",2014-01-16,"",""
162,"162",-1084,2014-01-16 15:51:39.267512000,"B.109","",2014-01-16 15:51:39.267512000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,2011-06-30,"309","305","-62356",2014-01-16,"",""
163,"163",-1084,2014-01-16 15:51:39.267512000,"B.109","",2014-01-16 15:51:39.267512000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,2011-06-30,"309","306","-62356",2014-01-16,"",""
164,"164",-1084,2014-01-16 15:51:39.267512000,"B.109","",2014-01-16 15:51:39.267512000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,2011-06-30,"309","307","-62356",2014-01-16,"",""
165,"165",-1084,2014-01-16 15:51:39.267512000,"B.109","",2014-01-16 15:51:39.267512000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,2011-06-30,"309","308","-62356",2014-01-16,"",""
166,"166",-1084,2014-01-16 15:51:39.514285000,"B.109","",2014-01-16 15:51:39.514285000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"192","191","-62356",2014-01-16,"",""
167,"167",-1084,2014-01-16 15:51:39.958346000,"B.109","",2014-01-16 15:51:39.958346000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"244","235","-62356",2014-01-16,"",""
168,"168",-1084,2014-01-16 15:51:39.958346000,"B.109","",2014-01-16 15:51:39.958346000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"244","236","-62356",2014-01-16,"",""
169,"169",-1084,2014-01-16 15:51:39.958346000,"B.109","",2014-01-16 15:51:39.958346000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"244","237","-62356",2014-01-16,"",""
170,"170",-1084,2014-01-16 15:51:39.958346000,"B.109","",2014-01-16 15:51:39.958346000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"244","238","-62356",2014-01-16,"",""
171,"171",-1084,2014-01-16 15:51:39.958346000,"B.109","",2014-01-16 15:51:39.958346000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"244","239","-62356",2014-01-16,"",""
172,"172",-1084,2014-01-16 15:51:39.958346000,"B.109","",2014-01-16 15:51:39.958346000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"244","240","-62356",2014-01-16,"",""
173,"173",-1084,2014-01-16 15:51:39.958346000,"B.109","",2014-01-16 15:51:39.958346000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"244","241","-62356",2014-01-16,"",""
174,"174",-1084,2014-01-16 15:51:39.958346000,"B.109","",2014-01-16 15:51:39.958346000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"244","242","-62356",2014-01-16,"",""
175,"175",-1084,2014-01-16 15:51:39.958346000,"B.109","",2014-01-16 15:51:39.958346000,"CHaegele",3000-01-01 00:00:00.000000000,"",2007-08-01,3000-01-01,"244","243","-62356",2014-01-16,"",""
176,"176",-1084,2014-01-16 15:51:40.487519000,"B.109","",2014-01-16 15:51:40.487519000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"182","179","-62356",2014-01-16,"",""
177,"177",-1084,2014-01-16 15:51:40.487519000,"B.109","",2014-01-16 15:51:40.487519000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"182","180","-62356",2014-01-16,"",""
178,"178",-1084,2014-01-16 15:51:40.487519000,"B.109","",2014-01-16 15:51:40.487519000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"182","181","-62356",2014-01-16,"",""
179,"179",-1084,2014-01-16 15:51:40.608625000,"B.109","",2014-01-16 15:51:40.608625000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"190","176","-62356",2014-01-16,"",""
180,"180",-1084,2014-01-16 15:51:40.608625000,"B.109","",2014-01-16 15:51:40.608625000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,2005-12-31,"190","177","-62356",2014-01-16,"",""
181,"181",-1084,2014-01-16 15:51:40.608625000,"B.109","",2014-01-16 15:51:40.608625000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,2005-12-31,"190","178","-62356",2014-01-16,"",""
182,"182",-1084,2014-01-16 15:51:40.608625000,"B.109","",2014-01-16 15:51:40.608625000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"190","182","-62356",2014-01-16,"",""
183,"183",-1084,2014-01-16 15:51:40.608625000,"B.109","",2014-01-16 15:51:40.608625000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"190","183","-62356",2014-01-16,"",""
184,"184",-1084,2014-01-16 15:51:40.608625000,"B.109","",2014-01-16 15:51:40.608625000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"190","184","-62356",2014-01-16,"",""
185,"185",-1084,2014-01-16 15:51:40.608625000,"B.109","",2014-01-16 15:51:40.608625000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"190","185","-62356",2014-01-16,"",""
186,"186",-1084,2014-01-16 15:51:40.608625000,"B.109","",2014-01-16 15:51:40.608625000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"190","186","-62356",2014-01-16,"",""
187,"187",-1084,2014-01-16 15:51:40.608625000,"B.109","",2014-01-16 15:51:40.608625000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"190","187","-62356",2014-01-16,"",""
188,"188",-1084,2014-01-16 15:51:40.608625000,"B.109","",2014-01-16 15:51:40.608625000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"190","188","-62356",2014-01-16,"",""
189,"189",-1084,2014-01-16 15:51:40.608625000,"B.109","",2014-01-16 15:51:40.608625000,"CHaegele",3000-01-01 00:00:00.000000000,"",2005-01-01,3000-01-01,"190","189","-62356",2014-01-16,"",""
190,"190",-1084,2014-01-16 15:51:40.608625000,"B.109","",2014-01-16 15:51:40.608625000,"CHaegele",3000-01-01 00:00:00.000000000,"",2012-01-01,3000-01-01,"190","333","-62356",2014-01-16,"",""
