"PKEY","BOID","METABO","LASTUPDATE","PROCESSID","ROWCOMMENT","CREATED","BIZCREATED","CREATEDUSER","BIZUSER","REPLACED","REPLACEDUSER","GUELTAB","GUELTBIS","STATEFROM","STATEUPTO","STATEBEGIN","STATEEND","KURZBEZDT","BEZEICHNUNGDT","KURZBEZEN","BEZEICHNUNGEN","KURZBEZFR","BEZEICHNUNGFR","KURZBEZIT","BEZEICHNUNGIT","KURZBEZ05","BEZEICHNUNG05","KURZBEZ06","BEZEICHNUNG06","KURZBEZ07","BEZEICHNUNG07","KURZBEZ08","BEZEICHNUNG08","KURZBEZ09","BEZEICHNUNG09","KURZBEZ10","BEZEICHNUNG10","INTERNALNAME","AKTIV","ISOALPHA","RUNDUNGSREGEL","REFWAEHRUNG","KURSABWEICHUNG","TIMESEG","ARCHIVETAG","MDBID"
1,"1",-138,2014-02-25 13:16:29.416056000,"P.-105101","",2014-02-25 13:12:33.943995000,2014-02-25 13:12:33.943995000,"MMoscatiello","MMoscatiello",2014-02-25 13:16:29.416056000,"MMoscatiello",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"EUR","Euro","EUR","Euro","EUR","Euro","EUR","Euro","","","","","","","","","","","","","W_EURO","-10110","","-12601","-10111",10,3000-01-01,"",""
2,"2",-138,2014-02-25 13:16:08.357389000,"P.-105101","",2014-02-25 13:14:21.471891000,2014-02-25 13:14:21.471891000,"MMoscatiello","MMoscatiello",2014-02-25 13:16:08.357389000,"MMoscatiello",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"USD","US-Dollar","USD","US-Dollar","USD","US-Dollar","USD","US-Dollar","","","","","","","","","","","","","W_US_DOLLAR","-10110","","-12601","-10111",10,3000-01-01,"",""
3,"2",-138,2014-02-25 13:16:08.357389000,"P.-105102","",2014-02-25 13:16:08.357389000,2014-02-25 13:16:08.357389000,"MMoscatiello","MMoscatiello",3000-01-01 00:00:00.000000000,"",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"USD","US-Dollar","USD","US-Dollar","USD","US-Dollar","USD","US-Dollar","","","","","","","","","","","","","W_US_DOLLAR","-10110","USD","-12601","-10111",10,3000-01-01,"",""
4,"1",-138,2017-02-24 13:40:18.666595000,"P.-105102","",2014-02-25 13:16:29.416056000,2014-02-25 13:16:29.416056000,"MMoscatiello","MMoscatiello",2017-02-24 13:40:18.666595000,"JFrei",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"EUR","Euro","EUR","Euro","EUR","Euro","EUR","Euro","","","","","","","","","","","","","W_EURO","-10110","EUR","-12601","-10111",10,3000-01-01,"",""
41,"1",-138,2017-04-21 11:22:11.083584000,"P.-105102","",2017-04-21 11:22:11.083584000,2017-04-21 11:22:11.083584000,"PMueller","PMueller",3000-01-01 00:00:00.000000000,"",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"EUR","Euro","EUR","Euro","EUR","Euro","EUR","Euro","","","","","","","","","","","","","W_EURO","-10110","EUR","-12601","-10111",10,3000-01-01,"",""
42,"-1",-138,2017-04-21 11:22:17.767585000,"P.-105102","",2017-04-21 11:22:17.767585000,2017-04-21 11:22:17.767585000,"PMueller","PMueller",3000-01-01 00:00:00.000000000,"",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"Fr.","Schweizer Franken","SFr","Swiss Francs","CHF","Franc suisse","CHF","Franchi svizzeri","","","","","","","","","","","","","CHF","-10110","CHF","-12601","-10110",10,3000-01-01,"",""
21,"-1",-138,2017-04-21 11:22:17.767585000,"P.-105102","",2017-02-24 13:40:08.678943000,2017-02-24 13:40:08.678943000,"JFrei","JFrei",2017-04-21 11:22:17.767585000,"PMueller",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"Fr.","Schweizer Franken","SFr","Swiss Francs","CHF","Franc suisse","CHF","Franchi svizzeri","","","","","","","","","","","","","CHF","-10110","CHF","-12601","-10111",10,3000-01-01,"",""
22,"1",-138,2017-04-21 11:22:11.083584000,"P.-105102","",2017-02-24 13:40:18.666595000,2017-02-24 13:40:18.666595000,"JFrei","JFrei",2017-04-21 11:22:11.083584000,"PMueller",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"EUR","Euro","EUR","Euro","EUR","Euro","EUR","Euro","","","","","","","","","","","","","W_EURO","-10110","EUR","-12601","-10110",10,3000-01-01,"",""
-1,"-1",-138,2017-02-24 13:40:08.678943000,"CASU","",1900-01-01 00:00:00.000000000,1900-01-01 00:00:00.000000000,"admin","admin",2017-02-24 13:40:08.678943000,"JFrei",1900-01-01,3000-01-01,1900-01-01,3000-01-01,1000-01-01,3000-01-01,"Fr.","Schweizer Franken","SFr","Swiss Francs","CHF","Franc suisse","CHF","Franchi svizzeri","","","","","","","","","","","","","CHF","-10110","CHF","-12601","-10110",10,3000-01-01,"",""
